village_name,mandal_name,lat,lon,district_name,bore_well_count
00-AGIRIPALLI,Agiripalle,16.67495862859375,80.78058396445313,Krishna,128
00-ALLURU,Veerullapadu,16.772747644027778,80.44737710569444,Krishna,72
00-AVANIGADDA,Avanigadda,16.021098822259887,80.91847070898305,Krishna,177
00-CH PADU,Chandarlapadu,16.697309020952382,80.19870074015873,Krishna,63
00-CHATRAI,Chatrai,16.991591136511627,80.86696162405815,Krishna,860
00-CHILLAKALLU,Jaggayyapeta,16.89261239851852,80.1420040917284,Krishna,81
00-D1-GDV,Gudivada,16.422224723333333,81.00139083333333,Krishna,6
00-D2-GDV,Gudivada,16.435749275217393,80.97741557869564,Krishna,23
00-G.KONDURU,G Konduru,16.684468481764707,80.57772760545454,Krishna,187
00-GAMPALAGUDEM,Gampalagudem,17.00787366876543,80.52865427092593,Krishna,162
00-GANNAVARAM I,Gannavaram,16.5497891088,80.81112651080001,Krishna,25
00-GHANTASALA,Ghantasala,16.1739403796,80.950332645,Krishna,200
00-GUDURU,Gudur,16.220357375,81.079636575,Krishna,2
00-IBRAHIMPATNAM,Ibrahimpatnam,16.587556836341463,80.50511330650407,Krishna,123
00-JAGGAIAHPET,Jaggayyapeta,16.89998261,80.08669284,Krishna,1
00-KALIDINDI,Kalidindi,16.50747667,81.306765,Krishna,1
00-KAMBHAMPADU,A Konduru,16.98530001582857,80.65452671051429,Krishna,175
00-KANKIPADU,Kankipadu,16.431514425384616,80.76961100769232,Krishna,39
00-KANURU,Penamaluru,16.498625595544553,80.69291969475248,Krishna,101
00-KONDAPALLI,Ibrahimpatnam,16.62204708375,80.55100187625,Krishna,8
00-LAKSHMIPURAM,Challapalli,16.1413987547191,80.96276677853932,Krishna,89
00-MEERJAPURAM,Nuzvid,16.70313082511111,80.93418987266666,Krishna,180
00-MOPIDEVI,Mopidevi,16.05995635829787,80.91296754792553,Krishna,188
00-MUDINEPALLI,Mudinepalli,16.41305333,81.110725,Krishna,1
00-MUSUNURU,Musunuru,16.82305426707196,80.92973270602978,Krishna,403
00-MYLAVARAM,Mylavaram,16.755837157093023,80.63330645705427,Krishna,258
00-Movva(HQ),Movva,16.228519810454543,80.91987203459595,Krishna,198
00-NAGAYALANKA,Nagayalanka,15.95300325,80.92148137,Krishna,1
00-NANDIGAMA,Nandigama,16.773762044799998,80.2920725112,Krishna,75
00-NUZVID TOWN,Nuzvid,16.79391622197222,80.84486625561111,Krishna,360
00-PAMARRU,Pamarru,16.326042414084508,80.96100970140844,Krishna,71
00-PAMIDIMUKKALA,Pamidimukkala,16.283192998611113,80.87191722972221,Krishna,72
00-PEDANA TOWN,Pedana,16.28064482,81.1542459,Krishna,1
00-PEDAPARUPUDI,Pedaparupudi,16.42691792408451,80.95438558070423,Krishna,142
00-PENAMALURU,Penamaluru,16.460853186054422,80.72470340564627,Krishna,441
00-PENUGANCHIPROLU,Penuganchiprolu,16.906799032271845,80.24258609275728,Krishna,515
00-PTMT00,Vijayawada Rural,16.485620666,80.66760233400001,Krishna,5
00-RAMANAKKAPET,Musunuru,16.8890193467094,80.87180365162392,Krishna,234
00-REDDYGUDEM,Reddigudem,16.87096969384106,80.73492400139072,Krishna,151
00-THOTLAVALLURU,Thotlavalluru,16.35238355340845,80.78854314729577,Krishna,355
00-TIRUVURU,Tiruvuru,17.107328715880502,80.61123751515724,Krishna,318
00-UNGUTURU,Unguturu,16.501142557142856,80.88845556857143,Krishna,7
00-VATCHAVAI,Vatsavai,16.97411394374233,80.24444827723926,Krishna,163
00-VISSANNAPETA,Vissannapet,16.933942984189816,80.788220153125,Krishna,432
00-VUYYURU,Vuyyuru,16.363623023000002,80.8450741,Krishna,90
01-6333401,Jaggayyapeta,16.902291369375,80.090982615625,Krishna,16
01-A KONDURU,A Konduru,16.961778984629632,80.6517032149074,Krishna,324
01-A R PADU,Nandigama,16.766450236296297,80.23862119222223,Krishna,27
01-ADDADA,Pamarru,16.349794216,80.978771762,Krishna,5
01-ADDPARRU,Kruthivennu,16.37410232,81.34031169,Krishna,1
01-ADIVINEKKALAM,Agiripalle,16.639263441535434,80.71858744559054,Krishna,254
01-AGNIPARRU,Pamidimukkala,16.273348105068493,80.88140993150685,Krishna,73
01-AKKAPALEM,Tiruvuru,17.13419521380769,80.58609392646154,Krishna,260
01-AKKIREDDIGUDEM,Musunuru,16.883620026884614,80.90276119257693,Krishna,260
01-AKUNURU,Vuyyuru,16.396785333761468,80.82268764009176,Krishna,109
01-ALLURIPADU,Vatsavai,16.943742004477613,80.24089859104477,Krishna,67
01-AMBARUPET,Nandigama,16.748072682682928,80.30457544731706,Krishna,41
01-AMMEREDDYGUDEM,Gampalagudem,16.962578457006803,80.48488933115647,Krishna,147
01-AMPAPURAM,Bapulapadu,16.608137852,80.88254095946667,Krishna,75
01-AMUDALAPALLI,Unguturu,16.5054617128,80.90430850759999,Krishna,25
01-ANANTAVARAM,Mylavaram,16.788413057586208,80.60584923034483,Krishna,29
01-ANEERAOPETA,Reddigudem,16.882619615197132,80.76700906544802,Krishna,279
01-ANGALURU,Gudlavalleru,16.38201980346154,81.04156293019231,Krishna,52
01-ANIGALLAPADU,Penuganchiprolu,16.890870938012423,80.283891314441,Krishna,322
01-ANNAVARAM,Jaggayyapeta,16.908820145265306,80.03118717857143,Krishna,245
01-ANNAVARAM,Nuzvid,16.83444690242647,80.84994089797794,Krishna,272
01-APPIKATLA,Pedaparupudi,16.412871708360655,80.92184420704919,Krishna,61
01-ARUGOLANUPETA,Chatrai,16.96452783976699,80.8463409953398,Krishna,515
01-ATCHAMPALEM,Ghantasala,16.20997329618421,80.87810254026316,Krishna,76
01-ATUKURU,G Konduru,16.67848042142857,80.5864443778022,Krishna,91
01-B B PALEM,Chandarlapadu,16.74616909181818,80.18290166636363,Krishna,22
01-BALIVE,Musunuru,16.813824903790323,81.00579993540322,Krishna,124
01-BALLIPARRU,Pedana,16.269119783846154,81.18607591,Krishna,13
01-BATTENAPADU,Kanchika Cherla,16.621964775000002,80.44874222499999,Krishna,2
01-BILLANAPALLI,Bapulapadu,16.72799767527523,80.95584991706423,Krishna,218
01-BILLAPADU,Gudivada,16.414417196363637,81.00001446454546,Krishna,11
01-BOBBARLANKA,Mopidevi,16.070758188640777,80.89985328995145,Krishna,206
01-BODAVADA,Veerullapadu,16.734267151250002,80.362916458125,Krishna,16
01-CH.V.PALEM,Kankipadu,16.3992798544,80.79760712933334,Krishna,75
01-CHANDRUPATLA,Vissannapet,16.97642010446541,80.76443422320754,Krishna,159
01-CHILUKURU,Ibrahimpatnam,16.620176867142856,80.41727827642856,Krishna,28
01-CHODAVARAM,Penamaluru,16.432109755522387,80.70211246858209,Krishna,268
01-ELAPROLU,Ibrahimpatnam,16.609514098571427,80.55883667428573,Krishna,7
01-GANNAVARAM II,Gannavaram,16.542461955384617,80.80338908538462,Krishna,13
01-NUNNA,Vijayawada Rural,16.603630492267573,80.68267851732426,Krishna,441
01-PALLERLAMUDI,Nuzvid,16.692528712114697,80.97653385996415,Krishna,279
02-ALLAPURAM,Gannavaram,16.542458808888888,80.82402220222222,Krishna,9
02-ALLINAKIPALEM,Pamidimukkala,16.233123333333335,80.86510833666667,Krishna,3
02-AMMAVARI GUDEM,Agiripalle,16.672018081627908,80.80075108697675,Krishna,43
02-ANANDAPURAM,Vuyyuru,16.386986806666666,80.83724155,Krishna,3
02-ANASAGARAM,Nandigama,16.793621874509803,80.27800104039216,Krishna,51
02-ANUMANCHIPALLI,Jaggayyapeta,16.940190237458562,80.07088713552486,Krishna,181
02-ANUMOLULANKA,Gampalagudem,16.975254318798076,80.5482589260577,Krishna,208
02-ATLAPREGADA,A Konduru,16.947699057662337,80.72557099077922,Krishna,231
02-Anjaneyapuram,Tiruvuru,17.07257619520833,80.61457602791667,Krishna,48
02-Ayyanki,Movva,16.26249953,80.94317923215687,Krishna,51
02-B K V PALEM(OLD),Chandarlapadu,16.780848119999998,80.20468711777778,Krishna,9
02-B V GUDEM,Nuzvid,16.77202820011364,80.78441020386363,Krishna,88
02-BADAVA,Mylavaram,16.852439040833335,80.632669684375,Krishna,48
02-BASAVARAPPADU,Musunuru,16.90169167761905,80.91566392055556,Krishna,126
02-BHADRI RAJUPALEM,Thotlavalluru,16.33457761,80.79595119326589,Krishna,346
02-BHAVANIPURAM,Reddigudem,16.912592168,80.673052334,Krishna,10
02-BHIMAVARAM,Vatsavai,16.896324550515462,80.16871563927835,Krishna,97
02-BHIMAVARAPPADU,G Konduru,16.70519692532258,80.65209039709677,Krishna,62
02-BHUSHANAGULLA,Pedaparupudi,16.434435592954546,80.96507060840909,Krishna,44
02-BIRUDUGADDA,Ghantasala,16.155821719285715,80.96808607785714,Krishna,14
02-BOMMULURU,Gudivada,16.413293857857145,81.02060240499999,Krishna,14
02-BURUGUDEM,Chatrai,17.013212805354478,80.86741780391792,Krishna,536
02-CHALLAPALLI,Challapalli,16.124988578333333,80.92438737,Krishna,6
02-CHEEPURUVARIPALEM,Vissannapet,17.047649952,80.77514224933334,Krishna,60
02-CHEVITIKALLU,Kanchika Cherla,16.614272097384614,80.36071339523076,Krishna,65
02-CHILLABOYINAPALLI,Musunuru,16.768555846347827,80.98459053308696,Krishna,230
02-CHIRUVOLU,Mopidevi,16.057011406666668,80.93998309589743,Krishna,39
02-CH_R_PALEM,Veerullapadu,16.74578195318182,80.44335877318181,Krishna,44
02-DAMULURU,Ibrahimpatnam,16.599524890697676,80.43379319976745,Krishna,43
02-DAVULURU,Kankipadu,16.406198069607843,80.78995523147059,Krishna,102
02-G.V.V.PALEM,Avanigadda,15.986642499999999,80.92183316,Krishna,2
02-GANGOOR,Penamaluru,16.474774096306305,80.74111041378379,Krishna,111
02-GDLTN02,Vijayawada Rural,16.529943009054055,80.66771513635135,Krishna,74
02-GUDAVALLI,Vijayawada Rural,16.511141519418604,80.74873322523257,Krishna,86
02-GUMMADIDURRU,Penuganchiprolu,16.862567171504853,80.29094009388349,Krishna,206
02-NEKKALAM GOLLAGUDEM,Agiripalle,16.65777553181818,80.70731245272727,Krishna,11
02-PEDDAPULIPAKA,Penamaluru,16.458394938674697,80.68670051716867,Krishna,166
02-SEETHARAMA PURAM,Nuzvid,16.671582943947367,80.95020911552632,Krishna,76
03-AMINAPURAM,Pamidimukkala,16.312557288346458,80.84569869488189,Krishna,127
03-ANANTAIPETA,Gudur,16.22670693,81.10282933,Krishna,1
03-ANANTASAGARAM,Agiripalle,16.700934979673203,80.86653208738562,Krishna,153
03-ARIPIRALA,Nandivada,16.53711167,80.98287667,Krishna,1
03-ARLAPADU,Gampalagudem,17.02867231361111,80.48556539430555,Krishna,72
03-ARUGOLANU,Bapulapadu,16.56582313789474,80.95349789842105,Krishna,19
03-ATUKURU,Unguturu,16.574106742047245,80.8457485607874,Krishna,127
03-AZZAMPUDI,Gannavaram,16.5298239884375,80.8050120321875,Krishna,32
03-BALLIPARRU,Pamarru,16.339974826666666,80.95005043333333,Krishna,3
03-BALUSUPADU,Jaggayyapeta,16.922242032258065,80.05044104225807,Krishna,62
03-BOBBILLAPADU,Chandarlapadu,16.71884723464286,80.2025588267857,Krishna,28
03-BODDAPADU,Thotlavalluru,16.393004386666668,80.78159594944445,Krishna,162
03-BOLLAPADU,Ghantasala,16.17910345625,80.96446365375,Krishna,16
03-BOLLAPADU,Vuyyuru,16.414496357727273,80.88146983409092,Krishna,132
03-BORRAGUDEM,Mylavaram,16.8180074484375,80.63435932375,Krishna,32
03-BURAVANCHA,Nuzvid,16.75426377909091,80.8388781270979,Krishna,286
03-Barlapudi,Movva,16.259360817910448,80.89788892477611,Krishna,67
03-CH.MADHAVARAM,G Konduru,16.697896567873563,80.54896600580459,Krishna,174
03-CHANDAPURAM,Nandigama,16.757831242545453,80.274672546,Krishna,55
03-CHANDRALA,Gudlavalleru,16.37907125,81.05629583,Krishna,1
03-CHATTANNAVARAM,Veerullapadu,16.77832764875,80.42658749375,Krishna,16
03-CHEEMALAPADU,A Konduru,16.887633916842105,80.63907552426316,Krishna,190
03-CHEEPURUGUDEM,Chatrai,17.04383664986928,80.93965853117648,Krishna,306
03-CHEKKAPALLI,Musunuru,16.870926353234672,80.93168145490486,Krishna,473
03-CHENNURU,Pedana,16.36968967,81.13757779,Krishna,1
03-CHIKKULAGUDEM,Tiruvuru,17.007236044051282,80.59590728394872,Krishna,195
03-CHILAKAMUDI,Gudivada,16.463087825000002,81.045431275,Krishna,2
03-CHINAMODUGAPALL,Vatsavai,16.958320525789475,80.1675012718421,Krishna,38
03-CHINTALA MADA,Challapalli,16.14563980166667,80.96016306371794,Krishna,78
03-CHINTALAVALLI,Musunuru,16.832990153564356,80.91134836069307,Krishna,202
03-EDUPUGALU,Kankipadu,16.4601118069962,80.75456520441065,Krishna,263
03-GANDEPALLI,Kanchika Cherla,16.733705111176473,80.33474685352941,Krishna,34
03-GOSALA,Penamaluru,16.438524984245284,80.74925771962263,Krishna,106
03-GOWRAMPALEM,Vissannapet,16.94405098372093,80.80616487023256,Krishna,43
03-K.KOTHA PALEM,Mopidevi,16.094831927402236,80.90075686044693,Krishna,358
03-KOLLIKOLLA,Penuganchiprolu,16.858564545694446,80.26871307013889,Krishna,72
03-KOTHANAGALURU,Reddigudem,16.81152651751825,80.71195683569343,Krishna,137
03-M N S PALEM,Nuzvid,16.70299466215909,80.96107785113637,Krishna,88
03-MODUMUDI,Avanigadda,16.026816637435896,80.93400649461537,Krishna,39
03-TADIGADAPA,Penamaluru,16.471495778859314,80.6927282704943,Krishna,263
04-B.B.GUDEM,Gannavaram,16.578027776,80.790703808,Krishna,10
04-B.KANDRIKA,Bapulapadu,16.658428658571427,80.98944698625,Krishna,56
04-BANDARUGUDEM,Unguturu,16.614227512333333,80.86257032633333,Krishna,30
04-BANDIPALEM,Jaggayyapeta,16.822111860652175,80.18007400500001,Krishna,46
04-BHAGAVANULAPURAM,Gampalagudem,16.976808704444444,80.37139229333333,Krishna,9
04-BODDANAPALLI,Agiripalle,16.704268305652175,80.73510751113044,Krishna,115
04-Bhatlapenumarru,Movva,16.283862512916667,80.90636668555555,Krishna,72
04-CH V GUDEM,Mylavaram,16.840770257710844,80.63123866493976,Krishna,83
04-CHAGANTIPADU,Thotlavalluru,16.31906571442748,80.8032430335369,Krishna,393
04-CHEGIREDDIPADU,G Konduru,16.66825438254902,80.63079534274509,Krishna,51
04-CHILAKALAPUDI,Ghantasala,16.19238549,80.95314674545455,Krishna,33
04-CHINA OGIRALA,Vuyyuru,16.368682277701865,80.81523023807453,Krishna,322
04-CHINA PARUPUDI,Pedaparupudi,16.393512834354837,80.92674140467743,Krishna,62
04-CHINA YERUKAPADU,Gudivada,16.399210663636364,81.00311061727272,Krishna,11
04-CHINNAMPETA,Chatrai,17.05411352450909,80.88416713858182,Krishna,275
04-CHINTALAPADU,Chandarlapadu,16.657060303461538,80.28596539061539,Krishna,130
04-CHINTALAPDU,Tiruvuru,17.025692967019232,80.55472195783653,Krishna,208
04-CHITTELLA,Vatsavai,16.94415517862069,80.19974421103448,Krishna,58
04-CHODAVARAM,Nagayalanka,15.93840778,80.91384116,Krishna,1
04-CHOTAPALLI,Veerullapadu,16.797426014166664,80.41786715583333,Krishna,12
04-DEVARAGUNTA,Nuzvid,16.75765101448052,80.9148026725974,Krishna,308
04-ELLAPURAM,Musunuru,16.861255799423077,80.96545391634616,Krishna,52
04-ENIKEPADU,Vijayawada Rural,16.521243337599998,80.6999039394,Krishna,50
04-GANIATKURU,Kanchika Cherla,16.60198679425926,80.38843284537036,Krishna,108
04-GODAVARRU,Kankipadu,16.4156767988,80.75432699356924,Krishna,325
04-GOGULAMPADU,Musunuru,16.85303515087097,80.9234675327742,Krishna,310
04-HANUMANTHPALEM,Nandigama,16.790498703333334,80.25781685222222,Krishna,9
04-JANALAGADA,Vissannapet,16.991537837142857,80.69880835114286,Krishna,35
04-KOKKILAGADDA,Mopidevi,16.072819828979593,80.90708957632653,Krishna,147
04-KONAKANCHI,Penuganchiprolu,16.834236329181817,80.20819516363636,Krishna,110
04-KOTHDAREDDYGUDEM,Reddigudem,16.881968831839078,80.74479340804598,Krishna,87
04-PORANKI,Penamaluru,16.486204366244344,80.71819571533936,Krishna,221
04-YENAMALAKUDURU,Penamaluru,16.475921642020204,80.6717437730303,Krishna,99
04-kOTHA MAJERU,Challapalli,16.136126177575758,81.02901523515152,Krishna,33
05-BAPULAPADU,Bapulapadu,16.64125372373494,80.96228933337349,Krishna,83
05-BOKINALA,Unguturu,16.46211261904762,80.84500484071428,Krishna,42
05-BOMMINAMPADU,Mudinepalli,16.480557644999998,81.221113395,Krishna,2
05-BUCHAVARAM,Jaggayyapeta,16.885253076153848,80.14342307615385,Krishna,13
05-CHALLAGULLAVARIPALEM,Gampalagudem,17.005190151851853,80.49232118185185,Krishna,54
05-CHANDARALA,Mylavaram,16.76582978030899,80.71160617098315,Krishna,356
05-CHEDURTIPADU,Nandivada,16.504279585,80.9299154175,Krishna,4
05-CHEVUTURU,G Konduru,16.70026125624413,80.5947251556338,Krishna,213
05-CHILAKALPUDI,Machilipatnam,16.12133151,81.04761541,Krishna,1
05-CHINA AGIRIPALLI,Agiripalle,16.6612248840367,80.78439243559633,Krishna,109
05-CHINAKALLEPALLI,Ghantasala,16.175846919,80.8854166825,Krishna,40
05-CHINAPULIPAKA,Thotlavalluru,16.39544544088889,80.76709915077778,Krishna,90
05-CHITHAPUR,Chatrai,16.934186229366198,80.86211501793427,Krishna,426
05-CHITTELA,Tiruvuru,17.079879485324675,80.60055305818182,Krishna,77
05-Chinamuthevi,Movva,16.255565645357144,80.96188601642858,Krishna,28
05-DABBAKULAPALLI,Vatsavai,16.99533821625,80.23089974568182,Krishna,88
05-DIGAVALLI,Nuzvid,16.87002523263298,80.84935422545212,Krishna,376
05-DOSAPADU,Pedaparupudi,16.464994538369567,80.9589237127174,Krishna,92
05-D_D_PADU,Veerullapadu,16.83223293154762,80.41543899130953,Krishna,84
05-EGINIPADU,Vuyyuru,16.385131911470587,80.86753230411765,Krishna,34
05-ETURU,Chandarlapadu,16.641676301,80.301644956,Krishna,90
05-GOLLAGUDEM,Kankipadu,16.44514024076923,80.77903795076924,Krishna,13
05-GOLLAGUDEM,Musunuru,16.903471986623376,80.89637488051949,Krishna,77
05-GOLLAMANDALA,A Konduru,16.983505510238096,80.66508246489795,Krishna,294
05-GOPAVARAM,Musunuru,16.814737665882355,80.9732237851294,Krishna,425
05-GOTTIMUKKALA,Kanchika Cherla,16.695734847333334,80.42281168644445,Krishna,90
05-GUNTUPALLI,Ibrahimpatnam,16.566655945454546,80.54771874181819,Krishna,22
05-INAMPUDI,Pamarru,16.347170214,80.987609802,Krishna,10
05-ITHAVARAM,Nandigama,16.728254673802816,80.30747594281691,Krishna,71
05-K L PURAM,Vissannapet,17.01828317697183,80.77744835542254,Krishna,142
05-K.AGRAHARAM,Jaggayyapeta,16.857976200229007,80.0961584740458,Krishna,131
05-KOSURIVARI PALE,Mopidevi,16.05122938921569,80.93877468892157,Krishna,204
05-KUDAPA,Reddigudem,16.897717812238806,80.68742197059701,Krishna,67
05-LINGAGUDEM,Penuganchiprolu,16.90321252578125,80.21658138078125,Krishna,64
05-MANGALAPURAM,Challapalli,16.112087943636364,80.97181802454546,Krishna,11
05-MARRIBANDAM,Nuzvid,16.680257600243902,80.94599039146341,Krishna,41
05-NIDAMANURU,Vijayawada Rural,16.507376189813954,80.7268501124186,Krishna,215
05-PULIGADDA,Avanigadda,16.039355780676694,80.90392342360903,Krishna,133
05-VANUKURU,Penamaluru,16.437079980163936,80.73287638678688,Krishna,305
06-BALLIPARRU,Gannavaram,16.593438916249998,80.840408418125,Krishna,48
06-BOMMULURU,Bapulapadu,16.656260709384615,80.99117603476923,Krishna,65
06-BUDAVADA,Jaggayyapeta,16.88387778534351,80.03360378984732,Krishna,131
06-CHAGANTIPADU,Unguturu,16.478169990465116,80.85553026790697,Krishna,43
06-CHANDRAGUDEM,Mylavaram,16.799938851022496,80.6257175888548,Krishna,489
06-CHENNAVARAM,Gampalagudem,17.006258161578945,80.47312511210527,Krishna,38
06-CHERUKUPALEM,Nandigama,16.777381974814816,80.17856722185185,Krishna,27
06-CHINA LINGALA,Nandivada,16.53415667,80.93144,Krishna,1
06-CHINANANDIGAMA,G Konduru,16.729109859171597,80.65807021781065,Krishna,169
06-CHIRI CHINTALA,Gudivada,16.384465926666664,81.01785925888889,Krishna,9
06-CHITOORU,Ghantasala,16.16864057,80.9967099225,Krishna,4
06-CHOPPARAMETLA,Agiripalle,16.683144143412697,80.8156363061111,Krishna,126
06-CHORAGUDI,Pamidimukkala,16.23519596853211,80.87425572486238,Krishna,109
06-CHOUTAPLLI,Tiruvuru,17.04067418648485,80.60405484666667,Krishna,165
06-DASAVARAM,Veerullapadu,16.769661416944444,80.40318504222222,Krishna,36
06-DESUPALEM,Vatsavai,16.94665014478261,80.12034108673913,Krishna,46
06-DEVARAPALLI,Thotlavalluru,16.29522658131291,80.81056641249452,Krishna,457
06-G V PALEM,Chandarlapadu,16.73047389,80.23159222,Krishna,3
06-GANDIGUNTA,Vuyyuru,16.379693578930482,80.83933286631016,Krishna,187
06-GGUNNACHINTALAPADU,A Konduru,17.0273802924,80.6125916784,Krishna,25
06-GOLLAPALLI,Nuzvid,16.72300991385768,80.90604263801498,Krishna,267
06-GUDIPADU,Chatrai,16.96139122146154,80.89812278846154,Krishna,130
06-GUDIPADU,Musunuru,16.87237556619863,80.96304831287671,Krishna,292
06-Gudapadu,Movva,16.21999901,80.89598357,Krishna,53
06-JAGANNADHAPURAM,Kankipadu,16.461738513500002,80.79899604350001,Krishna,20
06-JIJJAVARAM,Pamarru,16.306267222,80.99665288733333,Krishna,15
06-JUPUDI,Ibrahimpatnam,16.594526915315317,80.48746715297298,Krishna,111
06-KATERENIPADU,Musunuru,16.787269662421227,80.94062184525704,Krishna,603
06-KLAGARA,Vissannapet,17.009224475421686,80.76823765981928,Krishna,332
06-KUNAPARAPARVA,Reddigudem,16.906711442597402,80.73247508779221,Krishna,77
06-M.M.LANKA,Mopidevi,16.060703931392403,80.96256708683543,Krishna,158
06-MEKA VARI PALEM,Challapalli,16.120036621489362,80.90928130531915,Krishna,47
06-MUCHINTALA,Penuganchiprolu,16.910664983768115,80.2696488884058,Krishna,69
06-MUKTYALA,Jaggayyapeta,16.83087160117647,80.08159989627451,Krishna,51
06-MUNAGACHERLA,Nandigama,16.79824786952381,80.2594312457143,Krishna,21
06-RAMA KOTI PURAM,Avanigadda,16.026858013333335,80.93533657416667,Krishna,12
06-RAMAVARAPPADU,Vijayawada Rural,16.5322029632,80.68426930746666,Krishna,75
07-BUDHAVARAM,Gannavaram,16.5290617334375,80.809524330625,Krishna,32
07-CHIKKINALA,Unguturu,16.46214285410959,80.84780461164382,Krishna,73
07-CHINACOMIRA,Gampalagudem,16.99795987,80.5207746,Krishna,1
07-CHITOORUPU,Ghantasala,16.153435182293578,80.9187882238532,Krishna,109
07-CHOWTAPALLI,Gudivada,16.431209145714284,81.03881300714285,Krishna,7
07-DAMULURU,Nandigama,16.827829758727272,80.36666727000001,Krishna,55
07-DASULLAPALEM,Mylavaram,16.82513024088889,80.61712995366666,Krishna,180
07-DESANNAPALEM,Pamidimukkala,16.265576332000002,80.88378,Krishna,5
07-DHARMALAPADU,Jaggayyapeta,16.877273618636366,80.13615283136363,Krishna,66
07-DUGGIRALAPADU,G Konduru,16.75543223107438,80.51124593669422,Krishna,121
07-EDARA,Agiripalle,16.739136486766917,80.75653449932331,Krishna,133
07-EDURAMADDALI,Pedaparupudi,16.407667217974684,80.94359032645569,Krishna,79
07-ERRAMADU,Tiruvuru,17.06733903787879,80.51381188636363,Krishna,33
07-GANGAVALLI,Vatsavai,16.97319132375,80.209646169375,Krishna,16
07-GARIKIPARRU,Thotlavalluru,16.352306910784314,80.8317698414379,Krishna,153
07-GUDIMETLA,Chandarlapadu,16.73734019330357,80.15623983616071,Krishna,112
07-GULLAPUDI,Musunuru,16.88052125698276,80.96355054586208,Krishna,116
07-G_MADHAVARAM,Veerullapadu,16.782043829326923,80.48281255798078,Krishna,104
07-H M GUDEM,Nuzvid,16.85311049423729,80.8310382338983,Krishna,118
07-JABARLAPUDI,Vuyyuru,16.395982654999997,80.91060414277779,Krishna,36
07-JANARDHANAVARAM,Chatrai,16.964834139407667,80.87186559881533,Krishna,287
07-K.LOCK,Kankipadu,16.463375420689655,80.80534394896551,Krishna,29
07-KACHAVARAM,Ibrahimpatnam,16.628211771875,80.439133333125,Krishna,16
07-KANCHRLAVANI PURAM,Pamarru,16.31517665,80.98063051166667,Krishna,6
07-KEESARA,Kanchika Cherla,16.717338465,80.32367068583333,Krishna,24
07-KODURU,A Konduru,17.00261828039443,80.62347821183295,Krishna,431
07-KONDAPARVA,Vissannapet,16.906794959367947,80.8280290447404,Krishna,443
07-KORLAGUNTA,Musunuru,16.807457760903613,80.905479985,Krishna,166
07-KOTHAPALLI,Bapulapadu,16.72640068035176,80.9442974401005,Krishna,199
07-Karakampadu,Movva,16.255643321666664,80.94584355833332,Krishna,6
07-MERAKANAPALLI,Mopidevi,16.058971597206703,80.94880588011173,Krishna,179
07-MODDULAPARVA,Reddigudem,16.92327379075,80.76139754399999,Krishna,280
07-MULLAPADU,Penuganchiprolu,16.86107601176471,80.23688940602942,Krishna,68
07-NADAKUDURU,Challapalli,16.123008308550723,80.88348880536232,Krishna,69
07-RAMACHANDRA PUR,Avanigadda,16.03052529,80.95497923,Krishna,1
07-RATNALA GUDEM,Nuzvid,16.68231609,80.96988111,Krishna,1
07-T.G.PALEM,Jaggayyapeta,16.902984010588238,80.12008537588235,Krishna,17
08-CH.O.PALLI,Gannavaram,16.554118987333332,80.82473378177778,Krishna,45
08-CHINTALANERVA,Gampalagudem,17.006885463939394,80.47531475878787,Krishna,33
08-DALIPARRU,Ghantasala,16.148097717894736,80.97271447263158,Krishna,19
08-DOKIPARRU,Gudlavalleru,16.292721059999998,81.060101695,Krishna,2
